year,month,State,type_of_connection,value,date,Service_provider
2017,10,Uttar Pradesh (West),wireless,5728733.0,01-10-2017,BSNL
2010,9,Haryana,wireless,53.0,01-09-2010,LOOP TELECOM
2023,3,Himachal Pradesh,wireline,0.0,01-03-2023,RELIANCE COMMUNICATIONS
2015,9,Uttar Pradesh (East),wireless,8426556.0,01-09-2015,RELIANCE COMMUNICATIONS
2024,12,Maharashtra,wireline,585038.0,01-12-2024,AIRTEL
2021,4,Kolkata,wireline,311204.0,01-04-2021,BSNL
2012,6,Tamil Nadu,wireline,0.0,01-06-2012,MTNL
2009,2,Jammu And Kashmir,wireless,4048503.0,01-02-2009,BPL MOBILE
2012,8,Kolkata,wireless,3057881.0,01-08-2012,TATA TELE
2023,7,Gujarat,wireless,4975672.0,01-07-2023,BSNL
2010,9,Rajasthan,wireless,3150235.0,01-09-2010,TATA TELE
2023,6,Uttar Pradesh (West),wireless,8.0,01-06-2023,RELIANCE COMMUNICATIONS
2022,9,Uttar Pradesh (East),wireline,148497.0,01-09-2022,AIRTEL
2020,7,Uttar Pradesh (West),wireless,92174.0,01-07-2020,BSNL
2019,4,North East 1,wireless,2346612.0,01-04-2019,VODAFONE IDEA
2013,6,Tamil Nadu,wireline,480261.0,01-06-2013,AIRTEL
2012,5,Andhra Pradesh,wireline,1935846.0,01-05-2012,BSNL
2023,11,West Bengal,wireless,255964.0,01-11-2023,MTNL
2010,9,Delhi,wireless,7022048.0,01-09-2010,RELIANCE COMMUNICATIONS
2022,8,Assam,wireline,0.0,01-08-2022,RELIANCE COMMUNICATIONS
2015,1,Odisha,wireless,1143257.0,01-01-2015,MTNL
2020,5,Uttar Pradesh (West),wireless,92107.0,01-05-2020,BSNL
2016,11,Kolkata,wireless,4814136.0,01-11-2016,AIRTEL
2017,12,Haryana,wireless,4251802.0,01-12-2017,BSNL
2025,1,Jammu And Kashmir,wireline,129145.0,01-01-2025,AIRTEL
2017,1,Delhi,wireless,10576153.0,01-01-2017,VODAFONE IDEA
2012,11,Uttar Pradesh (West),wireless,10168301.0,01-11-2012,VODAFONE IDEA
2018,1,Kolkata,wireline,50668.0,01-01-2018,TATA TELE
2010,3,Delhi,wireless,70.0,01-03-2010,ETISALAT
2020,5,Gujarat,wireless,9950419.0,01-05-2020,AIRTEL
2023,1,Mumbai,wireline,170770.0,01-01-2023,VODAFONE IDEA
2019,6,Delhi,wireless,2473.0,01-06-2019,RELIANCE COMMUNICATIONS
2016,5,Bihar,wireless,7645045.0,01-05-2016,VIDEOCON
2015,8,Himachal Pradesh,wireless,1660011.0,01-08-2015,RELIANCE COMMUNICATIONS
2024,7,Kerala,wireless,8779707.0,01-07-2024,AIRTEL
2012,3,North East 1,wireless,0.0,01-03-2012,HFCL / QUADRANT
2020,12,Himachal Pradesh,wireless,2169449.0,01-12-2020,MTNL
2025,4,Andhra Pradesh,wireline,0.0,01-04-2025,HFCL / QUADRANT
2013,9,Andhra Pradesh,wireless,0.0,01-09-2013,MTNL
2009,1,Andaman And Nicobar Islands,wireless,88382758.0,01-01-2009,RELIANCE COMMUNICATIONS
2012,9,Madhya Pradesh,wireless,9928758.0,01-09-2012,AIRTEL
2024,3,Mumbai,wireline,609572.0,01-03-2024,TATA TELE
2017,9,Himachal Pradesh,wireless,1452766.0,01-09-2017,RELIANCE COMMUNICATIONS
2012,8,Andhra Pradesh,wireless,10670306.0,01-08-2012,VODAFONE IDEA
2025,1,Delhi,wireline,1063293.0,01-01-2025,JIO
2010,5,Delhi,wireline,1365698.0,01-05-2010,BSNL
2010,10,ALL INDIA,wireline,183575.0,01-10-2010,HFCL / QUADRANT
2021,3,Kolkata,wireline,153326.0,01-03-2021,AIRTEL
2016,7,Uttar Pradesh (East),wireless,3913903.0,01-07-2016,TATA TELE
2010,7,Rajasthan,wireless,10892100.0,01-07-2010,AIRTEL
2010,3,Mumbai,wireless,176544.0,01-03-2010,OTHERS
2019,1,Punjab,wireless,190.0,01-01-2019,RELIANCE COMMUNICATIONS
2015,11,North East 1,wireless,1463784.0,01-11-2015,VODAFONE IDEA
2023,12,Delhi,wireless,23.0,01-12-2023,RELIANCE COMMUNICATIONS
2015,6,Kerala,wireline,51591.0,01-06-2015,AIRTEL
2009,10,Mumbai,wireless,88214139.0,01-10-2009,HFCL / QUADRANT
2010,3,ALL INDIA,wireline,3066859.0,01-03-2010,AIRTEL
2021,1,Himachal Pradesh,wireline,77857.0,01-01-2021,BSNL
2023,1,Uttar Pradesh (West),wireless,5536340.0,01-01-2023,BSNL
2009,4,Mumbai,wireless,825989.0,01-04-2009,VODAFONE IDEA
2016,1,Madhya Pradesh,wireless,20849918.0,01-01-2016,VODAFONE IDEA
2014,9,Assam,wireless,2227943.0,01-09-2014,RELIANCE COMMUNICATIONS
2011,10,Madhya Pradesh,wireline,35019.0,01-10-2011,RELIANCE COMMUNICATIONS
2020,10,Jammu And Kashmir,wireline,0.0,01-10-2020,AIRTEL
2018,5,Uttar Pradesh (West),wireline,4200.0,01-05-2018,VODAFONE IDEA
2018,9,Delhi,wireless,15172046.0,01-09-2018,AIRTEL
2009,8,Gujarat,wireless,4613205.0,01-08-2009,AIRTEL
2017,6,Uttar Pradesh (East),wireless,21497341.0,01-06-2017,VODAFONE IDEA
2020,6,North East 1,wireless,3763129.0,01-06-2020,JIO
2018,9,Uttar Pradesh (West),wireless,12550108.0,01-09-2018,VODAFONE IDEA
2011,3,Uttar Pradesh (East),wireline,1369941.0,01-03-2011,BSNL
2023,2,Jammu And Kashmir,wireless,0.0,01-02-2023,RELIANCE COMMUNICATIONS
2009,1,Gujarat,wireline,34351.0,01-01-2009,AIRTEL
2016,2,Rajasthan,wireless,6403330.0,01-02-2016,AIRCEL
2020,4,Punjab,wireless,119760055.0,01-04-2020,BSNL
2015,11,Delhi,wireless,7773986.0,01-11-2015,HFCL / QUADRANT
2011,12,Karnataka,wireline,489456.0,01-12-2011,AIRTEL
2013,12,Maharashtra,wireless,9807039.0,01-12-2013,LOOP TELECOM
2011,8,Himachal Pradesh,wireless,380522.0,01-08-2011,VODAFONE IDEA
2016,10,Uttar Pradesh (East),wireline,1320.0,01-10-2016,VODAFONE IDEA
2016,9,Rajasthan,wireless,6608299.0,01-09-2016,AIRCEL
2014,6,Bihar,wireless,9240916.0,01-06-2014,RELIANCE COMMUNICATIONS
2021,3,Haryana,wireline,360.0,01-03-2021,VODAFONE IDEA
2016,11,West Bengal,wireless,376262.0,01-11-2016,TATA TELE
2011,11,Odisha,wireless,853.0,01-11-2011,LOOP TELECOM
2019,8,Madhya Pradesh,wireless,26234023.0,01-08-2019,JIO
2010,7,Andhra Pradesh,wireless,73781448.0,01-07-2010,MTNL
2022,7,West Bengal,wireless,69583.0,01-07-2022,BSNL
2022,3,Bihar,wireline,0.0,01-03-2022,AIRTEL
2018,2,ALL INDIA,wireline,0.0,01-02-2018,AIRCEL
2020,4,Jammu And Kashmir,wireline,1860.0,01-04-2020,AIRTEL
2011,6,Haryana,wireless,559344.0,01-06-2011,AIRCEL
2010,11,Kolkata,wireless,2068456.0,01-11-2010,HFCL / QUADRANT
2013,5,Tamil Nadu,wireless,12362181.0,01-05-2013,VODAFONE IDEA
2020,11,Punjab,wireline,12455.0,01-11-2020,TATA TELE
2024,11,Rajasthan,wireless,26145912.0,01-11-2024,JIO
2022,11,Jammu And Kashmir,wireless,107509305.0,01-11-2022,BSNL
2017,8,Uttar Pradesh (East),wireless,388216.0,01-08-2017,SISTEMA / MTS
2024,9,Assam,wireline,0.0,01-09-2024,MTNL
2019,4,Uttar Pradesh (East),wireless,30270286.0,01-04-2019,AIRTEL
2019,5,Delhi,wireless,2207109.0,01-05-2019,MTNL
2010,1,Jammu And Kashmir,wireless,94390.0,01-01-2010,OTHERS
2022,3,Uttar Pradesh (West),wireless,20868507.0,01-03-2022,JIO
2013,3,Jammu And Kashmir,wireless,1827610.0,01-03-2013,AIRCEL
2024,7,Karnataka,wireline,0.0,01-07-2024,OTHERS
2019,5,Himachal Pradesh,wireless,1338986.0,01-05-2019,VODAFONE IDEA
2010,7,Delhi,wireless,3002652.0,01-07-2010,VODAFONE IDEA
2015,11,Assam,wireless,1273904.0,01-11-2015,BSNL
2012,3,Mumbai,wireless,1461112.0,01-03-2012,TELENOR
2017,6,Andhra Pradesh,wireless,6919989.0,01-06-2017,VODAFONE IDEA
2021,8,Karnataka,wireline,348001.0,01-08-2021,JIO
2022,8,Kerala,wireline,82525.0,01-08-2022,AIRTEL
2013,7,Karnataka,wireline,146902.0,01-07-2013,TATA TELE
2010,2,ALL INDIA,wireless,97229874.0,01-02-2010,VODAFONE IDEA
2009,12,North East 1,wireless,5261.0,01-12-2009,SISTEMA / MTS
2016,12,ALL INDIA,wireline,58305.0,01-12-2016,SISTEMA / MTS
2023,3,Madhya Pradesh,wireline,267567.0,01-03-2023,BSNL
2010,8,Uttar Pradesh (East),wireless,755273.0,01-08-2010,SISTEMA / MTS
2016,2,Himachal Pradesh,wireless,6727985.0,01-02-2016,HFCL / QUADRANT
2022,8,Gujarat,wireless,57.0,01-08-2022,RELIANCE COMMUNICATIONS
2020,3,Assam,wireless,0.0,01-03-2020,RELIANCE COMMUNICATIONS
2022,1,ALL INDIA,wireless,113928341.0,01-01-2022,BSNL
2010,5,Uttar Pradesh (West),wireless,888979.0,01-05-2010,AIRCEL
2017,6,Odisha,wireline,268850.0,01-06-2017,BSNL
2012,3,Tamil Nadu,wireless,13385887.0,01-03-2012,AIRTEL
2016,1,Andhra Pradesh,wireless,23427595.0,01-01-2016,AIRTEL
2009,10,Kolkata,wireline,20015.0,01-10-2009,TATA TELE
2021,3,Maharashtra,wireline,12530.0,01-03-2021,RELIANCE COMMUNICATIONS
2013,11,Kolkata,wireless,729415.0,01-11-2013,SISTEMA / MTS
2023,4,Mumbai,wireline,172490.0,01-04-2023,VODAFONE IDEA
2014,9,Gujarat,wireless,3201843.0,01-09-2014,BSNL
2018,11,Uttar Pradesh (West),wireline,4016.0,01-11-2018,RELIANCE COMMUNICATIONS
2014,12,Delhi,wireless,2325730.0,01-12-2014,MTNL
2011,3,Maharashtra,wireless,961237.0,01-03-2011,AIRCEL
2024,10,Odisha,wireline,4.0,01-10-2024,RELIANCE COMMUNICATIONS
2012,7,ALL INDIA,wireless,134111811.0,01-07-2012,RELIANCE COMMUNICATIONS
2014,5,Karnataka,wireless,6747703.0,01-05-2014,VODAFONE IDEA
2009,6,ALL INDIA,wireless,54364502.0,01-06-2009,BSNL
2017,11,Madhya Pradesh,wireless,9194362.0,01-11-2017,JIO
2017,3,Himachal Pradesh,wireless,8473311.0,01-03-2017,TELENOR
2019,9,Assam,wireless,1996.0,01-09-2019,RELIANCE COMMUNICATIONS
2022,1,Jammu And Kashmir,wireless,0.0,01-01-2022,RELIANCE COMMUNICATIONS
2018,9,ALL INDIA,wireless,21980970.0,01-09-2018,TATA TELE
2018,9,Rajasthan,wireless,23850722.0,01-09-2018,AIRTEL
2024,7,Assam,wireless,0.0,01-07-2024,RELIANCE COMMUNICATIONS
2016,10,Bihar,wireless,3408443.0,01-10-2016,RELIANCE COMMUNICATIONS
2011,2,Himachal Pradesh,wireless,1660657.0,01-02-2011,BSNL
2009,12,Madhya Pradesh,wireless,6603298.0,01-12-2009,VODAFONE IDEA
2020,4,West Bengal,wireless,1178618.0,01-04-2020,MTNL
2021,11,Kerala,wireline,18712.0,01-11-2021,TATA TELE
2013,7,Uttar Pradesh (West),wireless,5258838.0,01-07-2013,OTHERS
2021,9,Uttar Pradesh (West),wireline,7.0,01-09-2021,RELIANCE COMMUNICATIONS
2023,8,Himachal Pradesh,wireless,92.0,01-08-2023,RELIANCE COMMUNICATIONS
2021,1,Jammu And Kashmir,wireline,72006.0,01-01-2021,JIO
2009,12,Odisha,wireless,2543620.0,01-12-2009,RELIANCE COMMUNICATIONS
2010,10,Jammu And Kashmir,wireless,708186.0,01-10-2010,BSNL
2025,4,Karnataka,wireline,177461.0,01-04-2025,VODAFONE IDEA
2012,11,Karnataka,wireline,0.0,01-11-2012,SISTEMA / MTS
2020,4,Andhra Pradesh,wireline,27999.0,01-04-2020,RELIANCE COMMUNICATIONS
2015,1,Jammu And Kashmir,wireless,195130.0,01-01-2015,SISTEMA / MTS
2015,2,Maharashtra,wireless,5162685.0,01-02-2015,BSNL
2019,10,West Bengal,wireless,87578.0,01-10-2019,BSNL
2010,4,Bihar,wireline,1181442.0,01-04-2010,HFCL / QUADRANT
2017,8,ALL INDIA,wireless,46950383.0,01-08-2017,TELENOR
2015,2,Mumbai,wireline,237374.0,01-02-2015,RELIANCE COMMUNICATIONS
2011,1,ALL INDIA,wireless,155796598.0,01-01-2011,AIRTEL
2010,6,Bihar,wireline,3354.0,01-06-2010,RELIANCE COMMUNICATIONS
2010,8,Himachal Pradesh,wireless,292126.0,01-08-2010,OTHERS
2009,6,Madhya Pradesh,wireline,1303000.0,01-06-2009,BSNL
2023,4,Haryana,wireless,8158151.0,01-04-2023,JIO
2025,4,Madhya Pradesh,wireline,0.0,01-04-2025,HFCL / QUADRANT
2019,5,Kerala,wireline,15280.0,01-05-2019,RELIANCE COMMUNICATIONS
2019,2,Delhi,wireless,19533394.0,01-02-2019,VODAFONE IDEA
2017,11,ALL INDIA,wireline,1187824.0,01-11-2017,RELIANCE COMMUNICATIONS
2018,5,Kolkata,wireless,3024151.0,01-05-2018,VODAFONE IDEA
2017,10,Uttar Pradesh (East),wireline,366057.0,01-10-2017,BSNL
2014,10,Maharashtra,wireless,9116225.0,01-10-2014,LOOP TELECOM
2011,7,Madhya Pradesh,wireline,7119.0,01-07-2011,TATA TELE
2021,11,Gujarat,wireline,76107.0,01-11-2021,TATA TELE
2024,5,Himachal Pradesh,wireline,0.0,01-05-2024,RELIANCE COMMUNICATIONS
2016,3,Kerala,wireless,2252375.0,01-03-2016,VIDEOCON
2010,7,Punjab,wireless,2792308.0,01-07-2010,TATA TELE
2020,9,Kerala,wireless,118898175.0,01-09-2020,BSNL
2013,3,Rajasthan,wireline,270.0,01-03-2013,VODAFONE IDEA
2016,12,Himachal Pradesh,wireless,1990138.0,01-12-2016,BSNL
2021,12,Uttar Pradesh (West),wireless,21620210.0,01-12-2021,JIO
2022,7,Odisha,wireless,6303809.0,01-07-2022,BSNL
2022,8,Himachal Pradesh,wireline,1562.0,01-08-2022,TATA TELE
2009,9,ALL INDIA,wireline,3514454.0,01-09-2009,MTNL
2023,1,Delhi,wireline,0.0,01-01-2023,BSNL
2024,3,Madhya Pradesh,wireless,15548612.0,01-03-2024,VODAFONE IDEA
2016,4,Himachal Pradesh,wireline,60.0,01-04-2016,VODAFONE IDEA
2011,3,Haryana,wireline,331623.0,01-03-2011,BSNL
2020,10,Rajasthan,wireline,66817.0,01-10-2020,AIRTEL
2024,12,Uttar Pradesh (West),wireline,215772.0,01-12-2024,AIRTEL
2012,12,Kerala,wireline,55903.0,01-12-2012,AIRTEL
2022,1,Madhya Pradesh,wireline,345639.0,01-01-2022,AIRTEL
2014,12,West Bengal,wireless,2426766.0,01-12-2014,VIDEOCON
2018,4,Andhra Pradesh,wireline,29640.0,01-04-2018,VODAFONE IDEA
2012,6,Bihar,wireless,9487767.0,01-06-2012,RELIANCE COMMUNICATIONS
2019,8,Rajasthan,wireless,446.0,01-08-2019,RELIANCE COMMUNICATIONS
2017,6,Mumbai,wireless,1302170.0,01-06-2017,MTNL
2017,9,Punjab,wireless,1962035.0,01-09-2017,TATA TELE
2010,4,Uttar Pradesh (West),wireless,2704958.0,01-04-2010,MTNL
2010,2,ALL INDIA,wireless,2776234.0,01-02-2010,LOOP TELECOM
2024,9,Uttar Pradesh (West),wireline,6943.0,01-09-2024,TATA TELE
2020,8,Madhya Pradesh,wireline,774.0,01-08-2020,RELIANCE COMMUNICATIONS
2020,10,Delhi,wireless,5897628.0,01-10-2020,BSNL
2010,9,Gujarat,wireline,1822636.0,01-09-2010,BSNL
2016,6,Haryana,wireless,2319473.0,01-06-2016,MTNL
2012,5,North East 1,wireless,218076.0,01-05-2012,VODAFONE IDEA
2022,4,Karnataka,wireline,0.0,01-04-2022,MTNL
2019,9,Rajasthan,wireless,447.0,01-09-2019,RELIANCE COMMUNICATIONS
2015,8,North East 1,wireless,3413400.0,01-08-2015,TATA TELE
2012,9,Assam,wireless,0.0,01-09-2012,OTHERS
2017,11,West Bengal,wireless,16907331.0,01-11-2017,AIRTEL
2011,7,Uttar Pradesh (East),wireless,1413308.0,01-07-2011,HFCL / QUADRANT
2020,4,North East 1,wireless,119760055.0,01-04-2020,BSNL
2022,7,Karnataka,wireless,6706785.0,01-07-2022,BSNL
2011,10,Mumbai,wireless,3688254.0,01-10-2011,AIRTEL
2012,7,Punjab,wireless,5663077.0,01-07-2012,VODAFONE IDEA
2023,5,Madhya Pradesh,wireless,5214330.0,01-05-2023,BSNL
2013,8,Madhya Pradesh,wireless,16159265.0,01-08-2013,VODAFONE IDEA
2010,2,Bihar,wireline,3025.0,01-02-2010,RELIANCE COMMUNICATIONS
2020,12,Kolkata,wireless,2169449.0,01-12-2020,MTNL
2014,9,Gujarat,wireless,3174989.0,01-09-2014,TATA TELE
2014,5,North East 1,wireless,3460713.0,01-05-2014,TATA TELE
2024,9,Andhra Pradesh,wireline,506357.0,01-09-2024,BSNL
2012,12,Odisha,wireless,3813211.0,01-12-2012,RELIANCE COMMUNICATIONS
2023,8,Jammu And Kashmir,wireless,5904045.0,01-08-2023,AIRTEL
2013,1,Uttar Pradesh (East),wireless,7399456.0,01-01-2013,OTHERS
2013,7,Assam,wireless,0.0,01-07-2013,VIDEOCON
2017,10,Bihar,wireless,7545651.0,01-10-2017,AIRCEL
2013,11,Punjab,wireline,23978.0,01-11-2013,RELIANCE COMMUNICATIONS
2009,5,Haryana,wireless,41304.0,01-05-2009,SISTEMA / MTS
2017,3,Punjab,wireless,4899284.0,01-03-2017,JIO
2022,8,Haryana,wireless,1691991.0,01-08-2022,MTNL
2010,11,Uttar Pradesh (East),wireless,1462534.0,01-11-2010,AIRCEL
2022,1,West Bengal,wireline,120.0,01-01-2022,VODAFONE IDEA
2014,4,Odisha,wireless,1969864.0,01-04-2014,VIDEOCON
2016,1,Uttar Pradesh (West),wireline,391564.0,01-01-2016,BSNL
2017,11,ALL INDIA,wireless,211025276.0,01-11-2017,VODAFONE IDEA
2012,11,Odisha,wireless,2843791.0,01-11-2012,AIRCEL
2011,3,Odisha,wireless,3636992.0,01-03-2011,RELIANCE COMMUNICATIONS
2023,2,Kerala,wireless,0.0,01-02-2023,BSNL
2022,1,Maharashtra,wireless,36334081.0,01-01-2022,JIO
2024,12,ALL INDIA,wireline,2360582.0,01-12-2024,TATA TELE
2012,4,ALL INDIA,wireless,6107959.0,01-04-2012,VIDEOCON
2016,3,Haryana,wireline,38644.0,01-03-2016,TATA TELE
2013,10,Kerala,wireless,0.0,01-10-2013,VIDEOCON
2018,3,Delhi,wireless,12281591.0,01-03-2018,VODAFONE IDEA
2009,9,North East 1,wireless,1141794.0,01-09-2009,AIRTEL
2013,7,Uttar Pradesh (East),wireline,886296.0,01-07-2013,BSNL
2024,1,Madhya Pradesh,wireless,15699573.0,01-01-2024,VODAFONE IDEA
2019,10,Odisha,wireless,1196411.0,01-10-2019,MTNL
2011,3,Rajasthan,wireline,1182757.0,01-03-2011,BSNL
2019,3,Haryana,wireline,35083.0,01-03-2019,TATA TELE
2014,11,Himachal Pradesh,wireless,663239.0,01-11-2014,VODAFONE IDEA
2020,12,Kerala,wireless,118615717.0,01-12-2020,BSNL
2020,1,Assam,wireless,8315900.0,01-01-2020,AIRTEL
2010,4,Andhra Pradesh,wireless,0.0,01-04-2010,VIDEOCON
2015,11,Karnataka,wireless,20844180.0,01-11-2015,AIRTEL
2017,2,Delhi,wireless,6830343.0,01-02-2017,AIRCEL
2020,4,Kerala,wireless,8990383.0,01-04-2020,JIO
2012,8,Haryana,wireless,234250.0,01-08-2012,SISTEMA / MTS
2019,11,Haryana,wireless,2187738.0,01-11-2019,MTNL
2009,12,Jammu And Kashmir,wireless,424659.0,01-12-2009,RELIANCE COMMUNICATIONS
2021,1,Madhya Pradesh,wireless,2166582.0,01-01-2021,MTNL
2011,2,West Bengal,wireless,1162530.0,01-02-2011,SISTEMA / MTS
2011,11,Rajasthan,wireless,366.0,01-11-2011,LOOP TELECOM
2020,4,Gujarat,wireless,604.0,01-04-2020,RELIANCE COMMUNICATIONS
2013,4,Kolkata,wireless,754153.0,01-04-2013,SISTEMA / MTS
2022,2,Jammu And Kashmir,wireline,0.0,01-02-2022,RELIANCE COMMUNICATIONS
2014,1,Gujarat,wireless,8938782.0,01-01-2014,VODAFONE IDEA
2010,9,Himachal Pradesh,wireless,1468592.0,01-09-2010,AIRTEL
2010,6,Jammu And Kashmir,wireless,75579.0,01-06-2010,VODAFONE IDEA
2015,3,Maharashtra,wireless,17437924.0,01-03-2015,VODAFONE IDEA
2020,12,Himachal Pradesh,wireless,3010300.0,01-12-2020,BSNL
2010,6,Himachal Pradesh,wireline,178280.0,01-06-2010,SISTEMA / MTS
2014,11,Gujarat,wireless,18563.0,01-11-2014,AIRCEL
2009,7,West Bengal,wireless,2350537.0,01-07-2009,LOOP TELECOM
2012,5,Uttar Pradesh (East),wireless,7633503.0,01-05-2012,TELENOR
2022,11,Madhya Pradesh,wireless,17630923.0,01-11-2022,VODAFONE IDEA
2012,5,Bihar,wireline,10487.0,01-05-2012,TATA TELE
2022,9,Maharashtra,wireline,26463.0,01-09-2022,VODAFONE IDEA
2024,8,Haryana,wireline,0.0,01-08-2024,RELIANCE COMMUNICATIONS
2009,12,West Bengal,wireless,6531567.0,01-12-2009,VODAFONE IDEA
2018,1,Odisha,wireline,261738.0,01-01-2018,BSNL
2012,5,Karnataka,wireline,1745544.0,01-05-2012,BSNL
2015,7,Bihar,wireless,8619716.0,01-07-2015,VODAFONE IDEA
2023,6,Haryana,wireless,7235095.0,01-06-2023,VODAFONE IDEA
2019,11,Kerala,wireless,10928286.0,01-11-2019,BSNL
2017,8,Uttar Pradesh (West),wireline,328978.0,01-08-2017,BSNL
2015,12,Rajasthan,wireless,18897726.0,01-12-2015,AIRTEL
2017,10,Delhi,wireless,6498679.0,01-10-2017,VODAFONE IDEA
2021,7,Delhi,wireless,5599488.0,01-07-2021,BSNL
2009,7,Gujarat,wireline,1868339.0,01-07-2009,BSNL
2024,1,Himachal Pradesh,wireless,90.0,01-01-2024,RELIANCE COMMUNICATIONS
2011,7,Maharashtra,wireless,2.0,01-07-2011,LOOP TELECOM
2023,5,Madhya Pradesh,wireless,0.0,01-05-2023,RELIANCE COMMUNICATIONS
2010,6,Haryana,wireline,49775.0,01-06-2010,AIRTEL
2012,2,Gujarat,wireless,3463080.0,01-02-2012,TELENOR
2010,1,Chennai,wireless,1258943.0,01-01-2010,TATA TELE
2022,12,Madhya Pradesh,wireless,5443063.0,01-12-2022,BSNL
2016,4,Gujarat,wireless,3676307.0,01-04-2016,BSNL
2012,6,Bihar,wireline,0.0,01-06-2012,AIRTEL
2017,8,Delhi,wireless,402135.0,01-08-2017,SISTEMA / MTS
2022,10,Rajasthan,wireless,24298718.0,01-10-2022,JIO
2020,6,Madhya Pradesh,wireless,31814555.0,01-06-2020,JIO
2021,8,Uttar Pradesh (East),wireline,185182.0,01-08-2021,BSNL
2009,11,Chennai,wireless,88607607.0,01-11-2009,LOOP TELECOM
2024,6,Gujarat,wireline,0.0,01-06-2024,MTNL
2009,11,Assam,wireless,88607607.0,01-11-2009,LOOP TELECOM
2016,3,Uttar Pradesh (East),wireline,15210.0,01-03-2016,TATA TELE
2011,10,Mumbai,wireline,331930.0,01-10-2011,AIRTEL
2022,10,ALL INDIA,wireline,1572698.0,01-10-2022,TATA TELE
2024,6,Karnataka,wireline,0.0,01-06-2024,MTNL
2013,1,Karnataka,wireline,113671.0,01-01-2013,RELIANCE COMMUNICATIONS
2010,6,Jammu And Kashmir,wireless,133500.0,01-06-2010,OTHERS
2024,5,Mumbai,wireline,1165615.0,01-05-2024,MTNL
2022,3,Tamil Nadu,wireline,118938.0,01-03-2022,TATA TELE
2021,7,Delhi,wireless,114331994.0,01-07-2021,BSNL
2015,9,Kolkata,wireline,3840.0,01-09-2015,VODAFONE IDEA
2024,7,Mumbai,wireless,0.0,01-07-2024,RELIANCE COMMUNICATIONS
2017,2,Andhra Pradesh,wireless,6920655.0,01-02-2017,VODAFONE IDEA
2020,10,Karnataka,wireless,20844267.0,01-10-2020,JIO
2021,9,ALL INDIA,wireless,269990327.0,01-09-2021,VODAFONE IDEA
2013,4,Assam,wireless,0.0,01-04-2013,TATA TELE
2015,7,Odisha,wireless,1334624.0,01-07-2015,VODAFONE IDEA
2010,11,Mumbai,wireless,3028093.0,01-11-2010,LOOP TELECOM
2012,1,Mumbai,wireless,980278.0,01-01-2012,VIDEOCON
2021,8,Maharashtra,wireline,11606.0,01-08-2021,RELIANCE COMMUNICATIONS
2024,1,West Bengal,wireless,17851161.0,01-01-2024,AIRTEL
2011,3,Madhya Pradesh,wireless,1153790.0,01-03-2011,VIDEOCON
2017,1,West Bengal,wireless,6305242.0,01-01-2017,VODAFONE IDEA
2018,2,West Bengal,wireless,2367.0,01-02-2018,RELIANCE COMMUNICATIONS
2015,2,North East 1,wireless,454545.0,01-02-2015,VODAFONE IDEA
2024,1,Tamil Nadu,wireline,0.0,01-01-2024,HFCL / QUADRANT
2023,9,Kolkata,wireless,93506113.0,01-09-2023,BSNL
2011,6,North East 1,wireless,2103288.0,01-06-2011,AIRTEL
2015,4,West Bengal,wireless,2730379.0,01-04-2015,HFCL / QUADRANT
2016,12,Maharashtra,wireline,13501.0,01-12-2016,VODAFONE IDEA
2009,2,Haryana,wireless,65920902.0,01-02-2009,VODAFONE IDEA
2018,7,Odisha,wireless,2265724.0,01-07-2018,VODAFONE IDEA
2011,1,Andhra Pradesh,wireline,124194.0,01-01-2011,AIRTEL
2019,6,Kerala,wireless,154633.0,01-06-2019,BSNL
2022,4,Rajasthan,wireless,113318603.0,01-04-2022,BSNL
2024,4,West Bengal,wireline,0.0,01-04-2024,HFCL / QUADRANT
2020,2,Haryana,wireless,5046554.0,01-02-2020,BSNL
2024,2,Delhi,wireless,16523781.0,01-02-2024,VODAFONE IDEA
2012,5,Tamil Nadu,wireless,8940053.0,01-05-2012,RELIANCE COMMUNICATIONS
2013,9,Kolkata,wireless,4960851.0,01-09-2013,OTHERS
2010,10,Kerala,wireless,4790468.0,01-10-2010,VODAFONE IDEA
2020,4,Andhra Pradesh,wireless,92052.0,01-04-2020,MTNL
2010,5,Gujarat,wireless,378059.0,01-05-2010,SISTEMA / MTS
2024,5,West Bengal,wireline,195390.0,01-05-2024,BSNL
2023,5,Bihar,wireless,372315782.0,01-05-2023,RELIANCE COMMUNICATIONS
2017,8,North East 1,wireless,214534.0,01-08-2017,RELIANCE COMMUNICATIONS
2021,3,ALL INDIA,wireline,216428.0,01-03-2021,HFCL / QUADRANT
2016,6,West Bengal,wireless,4917094.0,01-06-2016,AIRCEL
2015,5,Madhya Pradesh,wireline,811593.0,01-05-2015,BSNL
2021,5,Andhra Pradesh,wireline,157929.0,01-05-2021,TATA TELE
2018,6,Gujarat,wireless,15051326.0,01-06-2018,VODAFONE IDEA
2017,6,Uttar Pradesh (East),wireless,11492735.0,01-06-2017,BSNL
2012,12,Kerala,wireless,0.0,01-12-2012,HFCL / QUADRANT
2020,1,Bihar,wireline,15401.0,01-01-2020,JIO
2012,2,Himachal Pradesh,wireless,1837334.0,01-02-2012,RELIANCE COMMUNICATIONS
2015,3,Karnataka,wireless,2791121.0,01-03-2015,AIRCEL
2016,10,Rajasthan,wireless,1475013.0,01-10-2016,TATA TELE
2013,10,Madhya Pradesh,wireless,22694.0,01-10-2013,AIRCEL
